index_name,거래일,시가,고가,저가,종가,거래량,거래대금,market
코스닥,20180309,857.80,868.51,857.47,865.80,868713307,4864157412707,KOSDAQ
코스피,20180312,2485.64,2489.46,2474.91,2484.12,391171693,6569995241244,KOSPI
코스닥,20180312,874.15,884.27,873.26,884.27,775809064,5089006921540,KOSDAQ
코스피,20180313,2483.05,2494.49,2478.76,2494.49,350115965,7828295916734,KOSPI
코스닥,20180313,884.54,886.25,879.85,886.25,1063305144,5767869906224,KOSDAQ
코스피,20180314,2477.43,2486.98,2474.77,2486.08,360803303,6379456085182,KOSPI
코스닥,20180314,882.39,887.04,880.92,886.92,942943348,5237581082181,KOSDAQ
코스피,20180315,2486.00,2496.51,2471.04,2492.38,343960410,6065654508187,KOSPI
코스닥,20180315,886.98,893.56,883.70,890.43,937306907,5912992595241,KOSDAQ
코스피,20180316,2495.11,2497.80,2476.88,2493.97,377437709,6564835170687,KOSPI
코스닥,20180316,893.24,894.45,889.40,894.43,792459591,5649164977190,KOSDAQ
코스피,20180319,2491.99,2493.56,2470.91,2475.03,476882935,5992883491083,KOSPI
코스닥,20180319,894.40,894.40,880.97,880.97,740173889,4973616200237,KOSDAQ
코스피,20180320,2456.80,2485.52,2456.80,2485.52,291181884,5382518762430,KOSPI
코스닥,20180320,876.61,890.40,875.39,890.40,739077751,6011998615015,KOSDAQ
코스피,20180321,2488.22,2492.88,2483.78,2484.97,398187810,5920760845621,KOSPI
코스닥,20180321,892.02,895.72,885.53,885.55,852297016,6973490140864,KOSDAQ
코스피,20180322,2494.84,2508.71,2485.34,2496.02,481735316,7176673101788,KOSPI
코스닥,20180322,889.21,891.30,869.00,871.62,990037234,6773270813266,KOSDAQ
코스피,20180323,2446.73,2450.40,2412.62,2416.76,457729637,7930333386371,KOSPI
코스닥,20180323,851.70,859.93,829.67,829.68,879578384,6675576295756,KOSDAQ
코스피,20180326,2414.68,2437.08,2399.44,2437.08,306737903,5927788417001,KOSPI
코스닥,20180326,833.11,853.69,822.96,853.69,720868145,6015201648080,KOSDAQ
코스피,20180327,2455.00,2456.55,2444.92,2452.06,332016911,6304981060781,KOSPI
코스닥,20180327,862.40,863.05,856.56,858.84,721492020,5696156140246,KOSDAQ
코스피,20180328,2425.94,2430.77,2409.47,2419.29,501174839,7760385416461,KOSPI
코스닥,20180328,850.05,856.36,843.60,850.97,880843808,5727338096258,KOSDAQ
코스피,20180329,2421.70,2439.47,2413.71,2436.37,333217471,7256069341739,KOSPI
코스닥,20180329,855.82,865.99,854.61,865.99,800429661,5128416623336,KOSDAQ
코스피,20180330,2454.10,2458.24,2445.72,2445.85,395153433,6433541232984,KOSPI
코스닥,20180330,869.86,873.04,867.11,871.09,756089101,5043915443880,KOSDAQ
코스피,20180402,2454.72,2467.52,2440.89,2444.16,390211994,6841138781766,KOSPI
코스닥,20180402,876.85,876.85,865.83,867.80,798548130,5648288222833,KOSDAQ
