company_name,stock_code,corp_code,bsns_year,report_name,reprt_code,fs_div,api_status,api_message,account_row_count,collected
CJ제일제당,097950,00635134,2025,분기보고서_3분기,11014,OFS,000,정상,158,True
CJ제일제당,097950,00635134,2025,사업보고서,11011,CFS,000,정상,280,True
CJ제일제당,097950,00635134,2025,사업보고서,11011,OFS,000,정상,174,True
HD현대일렉트릭,267260,01205851,2017,반기보고서,11012,CFS,000,정상,124,True
HD현대일렉트릭,267260,01205851,2017,반기보고서,11012,OFS,000,정상,109,True
HD현대일렉트릭,267260,01205851,2017,분기보고서_1분기,11013,CFS,013,조회된 데이타가 없습니다.,0,False
HD현대일렉트릭,267260,01205851,2017,분기보고서_1분기,11013,OFS,013,조회된 데이타가 없습니다.,0,False
HD현대일렉트릭,267260,01205851,2017,분기보고서_3분기,11014,CFS,000,정상,124,True
HD현대일렉트릭,267260,01205851,2017,분기보고서_3분기,11014,OFS,000,정상,112,True
HD현대일렉트릭,267260,01205851,2017,사업보고서,11011,CFS,000,정상,139,True
HD현대일렉트릭,267260,01205851,2017,사업보고서,11011,OFS,000,정상,114,True
HD현대일렉트릭,267260,01205851,2018,반기보고서,11012,CFS,000,정상,135,True
HD현대일렉트릭,267260,01205851,2018,반기보고서,11012,OFS,000,정상,111,True
HD현대일렉트릭,267260,01205851,2018,분기보고서_1분기,11013,CFS,000,정상,123,True
HD현대일렉트릭,267260,01205851,2018,분기보고서_1분기,11013,OFS,000,정상,99,True
HD현대일렉트릭,267260,01205851,2018,분기보고서_3분기,11014,CFS,000,정상,139,True
HD현대일렉트릭,267260,01205851,2018,분기보고서_3분기,11014,OFS,000,정상,113,True
HD현대일렉트릭,267260,01205851,2018,사업보고서,11011,CFS,000,정상,174,True
HD현대일렉트릭,267260,01205851,2018,사업보고서,11011,OFS,000,정상,137,True
HD현대일렉트릭,267260,01205851,2019,반기보고서,11012,CFS,000,정상,147,True
HD현대일렉트릭,267260,01205851,2019,반기보고서,11012,OFS,000,정상,119,True
